1e-20	-1.74218258724e+24	-3.32275423686e+25	-5.45789393411e+55	-8.64848925723e+54	-5.45789393411e+55	8.64848925723e+54
1.09e-20	-1.53168608502e+24	-2.91986275755e+25	-4.40014731498e+55	-6.9758541541e+54	-4.40014731498e+55	6.9758541541e+54
1.18e-20	-1.36045564e+24	-2.59228570578e+25	-3.60857952042e+55	-5.72352422462e+54	-3.60857952042e+55	5.72352422462e+54
1.27e-20	-1.21894559835e+24	-2.3216868065e+25	-3.00288724691e+55	-4.76483754132e+54	-3.00288724691e+55	4.76483754132e+54
1.36e-20	-1.10040077802e+24	-2.09509609057e+25	-2.53050713303e+55	-4.01684763091e+54	-2.53050713303e+55	4.01684763091e+54
1.45e-20	-9.99919972514e+23	-1.90310725126e+25	-2.15596207864e+55	-3.4235466485e+54	-2.15596207864e+55	3.4235466485e+54
1.54e-20	-9.13869366162e+23	-1.73874917135e+25	-1.85466358485e+55	-2.94610105728e+54	-1.85466358485e+55	2.94610105728e+54
1.63e-20	-8.39504150448e+23	-1.59675814387e+25	-1.60917486766e+55	-2.55696210104e+54	-1.60917486766e+55	2.55696210104e+54
1.72e-20	-7.74716568637e+23	-1.47309360333e+25	-1.40687782039e+55	-2.2361871248e+54	-1.40687782039e+55	2.2361871248e+54
1.81e-20	-7.17863198005e+23	-1.36460611144e+25	-1.23847003646e+55	-1.96906909229e+54	-1.23847003646e+55	1.96906909229e+54
1.9e-20	-6.67647158291e+23	-1.26881112646e+25	-1.09698987312e+55	-1.74459828914e+54	-1.09698987312e+55	1.74459828914e+54
1.99e-20	-6.2303126026e+23	-1.18372223391e+25	-9.77143181685e+54	-1.55439960065e+54	-9.77143181685e+54	1.55439960065e+54
2.08e-20	-5.83178200248e+23	-1.10773623634e+25	-8.74856126151e+54	-1.39202667581e+54	-8.74856126151e+54	1.39202667581e+54
2.17e-20	-5.47404544106e+23	-1.03954496804e+25	-7.86952479759e+54	-1.25245209373e+54	-7.86952479759e+54	1.25245209373e+54
2.26e-20	-5.1514738412e+23	-9.78071183746e+24	-7.10928392298e+54	-1.13171174552e+54	-7.10928392298e+54	1.13171174552e+54
2.35e-20	-4.85937855255e+23	-9.22417926429e+24	-6.4478507118e+54	-1.02664022027e+54	-6.4478507118e+54	1.02664022027e+54
2.44e-20	-4.59404262507e+23	-8.71873946044e+24	-5.86996233661e+54	-9.34820564774e+53	-5.86996233661e+54	9.34820564774e+53
2.53e-20	-4.35196668687e+23	-8.25770355977e+24	-5.3618176731e+54	-8.54065558073e+53	-5.3618176731e+54	8.54065558073e+53
2.62e-20	-4.13045265093e+23	-7.83591193897e+24	-4.91318347099e+54	-7.82753827041e+53	-4.91318347099e+54	7.82753827041e+53
2.71e-20	-3.92713676471e+23	-7.44884635433e+24	-4.51539827955e+54	-7.19512543671e+53	-4.51539827955e+54	7.19512543671e+53
2.8e-20	-3.7399901371e+23	-7.09262911938e+24	-4.16128025626e+54	-6.63203193837e+53	-4.16128025626e+54	6.63203193837e+53
2.89e-20	-3.5672632928e+23	-6.7639176084e+24	-3.84484223007e+54	-6.12876429617e+53	-3.84484223007e+54	6.12876429617e+53
2.98e-20	-3.40746026549e+23	-6.45985351731e+24	-3.56112526446e+54	-5.67745875019e+53	-3.56112526446e+54	5.67745875019e+53
3.07e-20	-3.25925180485e+23	-6.17789820461e+24	-3.30586066141e+54	-5.2713439253e+53	-3.30586066141e+54	5.2713439253e+53
3.16e-20	-3.1215373791e+23	-5.91594919223e+24	-3.07561445893e+54	-4.90497324094e+53	-3.07561445893e+54	4.90497324094e+53
3.25e-20	-2.99348326876e+23	-5.67241220065e+24	-2.86782995848e+54	-4.57429393105e+53	-2.86782995848e+54	4.57429393105e+53
3.34e-20	-2.87345616436e+23	-5.44417956565e+24	-2.67776537631e+54	-4.27176369616e+53	-2.67776537631e+54	4.27176369616e+53
3.43e-20	-2.76150209396e+23	-5.23132769652e+24	-2.50556254356e+54	-3.99762619877e+53	-2.50556254356e+54	3.99762619877e+53
3.52e-20	-2.65664347537e+23	-5.03199481559e+24	-2.3484758977e+54	-3.74751669253e+53	-2.3484758977e+54	3.74751669253e+53
3.61e-20	-2.55826597076e+23	-4.84500855826e+24	-2.20484109873e+54	-3.51879276599e+53	-2.20484109873e+54	3.51879276599e+53
3.7e-20	-2.46582013115e+23	-4.66932069959e+24	-2.07320787702e+54	-3.30915141169e+53	-2.07320787702e+54	3.30915141169e+53
3.79e-20	-2.37881853794e+23	-4.5040013495e+24	-1.9523214147e+54	-3.11659985355e+53	-1.9523214147e+54	3.11659985355e+53
3.88e-20	-2.29682183608e+23	-4.34821244419e+24	-1.84107792132e+54	-2.93938488448e+53	-1.84107792132e+54	2.93938488448e+53
3.97e-20	-2.21944038632e+23	-4.20121087326e+24	-1.73852133722e+54	-2.775987778e+53	-1.73852133722e+54	2.775987778e+53
4.06e-20	-2.14800474688e+23	-4.06550992022e+24	-1.64767611674e+54	-2.63124536722e+53	-1.64767611674e+54	2.63124536722e+53
4.15e-20	-2.07701799351e+23	-3.93070109227e+24	-1.55589437613e+54	-2.48496566644e+53	-1.55589437613e+54	2.48496566644e+53
4.24e-20	-2.01155822345e+23	-3.8063916736e+24	-1.47484089171e+54	-2.35578189868e+53	-1.47484089171e+54	2.35578189868e+53
4.33e-20	-1.94938694291e+23	-3.68834136188e+24	-1.39939830825e+54	-2.23552630536e+53	-1.39939830825e+54	2.23552630536e+53
