1e-20	-14.2833393345	-1.74218258724e+24	-3.32275423686e+25	4.48692663671e-10	-5.45789393411e+55	-8.64848925723e+54	-5.45789393411e+55	8.64848925723e+54	7.15662024655e+116	0.0	-10916.11882
1.09e-20	-14.2712673495	-1.53168608502e+24	-2.91986275755e+25	4.48702058006e-10	-4.40014731498e+55	-6.9758541541e+54	-4.40014731498e+55	6.9758541541e+54	-2.63385480873e+116	0.0	6737.55009309
1.18e-20	-14.2601446273	-1.36045564e+24	-2.59228570578e+25	4.48710785387e-10	-3.60857952042e+55	-5.72352422462e+54	-3.60857952042e+55	5.72352422462e+54	1.42813033201e+116	0.0	-5880.34258717
1.27e-20	-14.2498321023	-1.21894559835e+24	-2.3216868065e+25	4.48718702023e-10	-3.00288724691e+55	-4.76483754132e+54	-3.00288724691e+55	4.76483754132e+54	9.23580716532e+115	0.0	-5910.60942324
1.36e-20	-14.240219231	-1.10040077802e+24	-2.09509609057e+25	4.48726040722e-10	-2.53050713303e+55	-4.01684763091e+54	-2.53050713303e+55	4.01684763091e+54	2.22742542353e+115	0.0	-2149.63437951
1.45e-20	-14.2312166844	-9.99919972514e+23	-1.90310725126e+25	4.48733035775e-10	-2.15596207864e+55	-3.4235466485e+54	-2.15596207864e+55	3.4235466485e+54	-5.52695865726e+115	0.0	7834.57488552
1.54e-20	-14.2227512415	-9.13869366162e+23	-1.73874917135e+25	4.48739544835e-10	-1.85466358485e+55	-2.94610105728e+54	-1.85466358485e+55	2.94610105728e+54	-5.41825683353e+114	0.0	1102.29749251
1.63e-20	-14.2147621326	-8.39504150448e+23	-1.59675814387e+25	4.48745548937e-10	-1.60917486766e+55	-2.55696210104e+54	-1.60917486766e+55	2.55696210104e+54	-3.05519462109e+115	0.0	8739.23873648
1.72e-20	-14.207198365	-7.74716568637e+23	-1.47309360333e+25	4.48751382231e-10	-1.40687782039e+55	-2.2361871248e+54	-1.40687782039e+55	2.2361871248e+54	-2.17944751681e+115	0.0	8606.38059204
1.81e-20	-14.2000167311	-7.17863198005e+23	-1.36460611144e+25	4.48756541438e-10	-1.23847003646e+55	-1.96906909229e+54	-1.23847003646e+55	1.96906909229e+54	5.70203593089e+114	0.0	-3057.73508728
1.9e-20	-14.193180299	-6.67647158291e+23	-1.26881112646e+25	4.48761759275e-10	-1.09698987312e+55	-1.74459828914e+54	-1.09698987312e+55	1.74459828914e+54	3.80877241904e+114	0.0	-2732.75084672
1.99e-20	-14.1866572521	-6.2303126026e+23	-1.18372223391e+25	4.48766602781e-10	-9.77143181685e+54	-1.55439960065e+54	-9.77143181685e+54	1.55439960065e+54	-7.59830557724e+114	0.0	7196.5431668
2.08e-20	-14.1804199857	-5.83178200248e+23	-1.10773623634e+25	4.4877122219e-10	-8.74856126151e+54	-1.39202667581e+54	-8.74856126151e+54	1.39202667581e+54	-1.62872367532e+114	0.0	2011.46124621
2.17e-20	-14.1744443939	-5.47404544106e+23	-1.03954496804e+25	4.48774928278e-10	-7.86952479759e+54	-1.25245209373e+54	-7.86952479759e+54	1.25245209373e+54	-4.74247779659e+114	0.0	7551.69381965
2.26e-20	-14.1687093022	-5.1514738412e+23	-9.78071183746e+24	4.48775974992e-10	-7.10928392298e+54	-1.13171174552e+54	-7.10928392298e+54	1.13171174552e+54	-2.05499354827e+114	0.0	4175.81017963
2.35e-20	-14.1631960105	-4.85937855255e+23	-9.22417926429e+24	4.48769072102e-10	-6.4478507118e+54	-1.02664022027e+54	-6.4478507118e+54	1.02664022027e+54	5.70113409054e+113	0.0	-1464.38327672
2.44e-20	-14.1578879211	-4.59404262507e+23	-8.71873946044e+24	4.48787994882e-10	-5.86996233661e+54	-9.34820564774e+53	-5.86996233661e+54	9.34820564774e+53	2.95878788748e+113	0.0	-952.183846113
2.53e-20	-14.1527702353	-4.35196668687e+23	-8.25770355977e+24	4.48791851021e-10	-5.3618176731e+54	-8.54065558073e+53	-5.3618176731e+54	8.54065558073e+53	-5.16829674936e+113	0.0	2066.97325073
2.62e-20	-14.1478297019	-4.13045265093e+23	-7.83591193897e+24	4.48795241252e-10	-4.91318347099e+54	-7.82753827041e+53	-4.91318347099e+54	7.82753827041e+53	1.11527590171e+113	0.0	-550.111942317
2.71e-20	-14.1430544086	-3.92713676471e+23	-7.44884635433e+24	4.48798729153e-10	-4.51539827955e+54	-7.19512543671e+53	-4.51539827955e+54	7.19512543671e+53	5.99272913761e+113	0.0	-3619.91210544
2.8e-20	-14.1384336076	-3.7399901371e+23	-7.09262911938e+24	4.48801945972e-10	-4.16128025626e+54	-6.63203193837e+53	-4.16128025626e+54	6.63203193837e+53	1.53162553078e+113	0.0	-1125.52540946
2.89e-20	-14.1339575681	-3.5672632928e+23	-6.7639176084e+24	4.48803970244e-10	-3.84484223007e+54	-6.12876429617e+53	-3.84484223007e+54	6.12876429617e+53	1.62030649871e+113	0.0	-1439.58326844
2.98e-20	-14.1296174521	-3.40746026549e+23	-6.45985351731e+24	4.48808498709e-10	-3.56112526446e+54	-5.67745875019e+53	-3.56112526446e+54	5.67745875019e+53	5.53936647743e+113	0.0	-5915.6961748
3.07e-20	-14.1254052083	-3.25925180485e+23	-6.17789820461e+24	4.48811467896e-10	-3.30586066141e+54	-5.2713439253e+53	-3.30586066141e+54	5.2713439253e+53	6.40306649767e+112	0.0	-817.454464012
3.16e-20	-14.1213134812	-3.1215373791e+23	-5.91594919223e+24	4.48825799744e-10	-3.07561445893e+54	-4.90497324094e+53	-3.07561445893e+54	4.90497324094e+53	-2.41373812487e+113	0.0	3664.74771405
