0.05 0.045 0.005 5.93039017042e-10 6.30567564435e-10 7.34729611608e-10 -1408.67411671 -12657.47073864  -1.13899798e-06  0.  0.34093847
0.05 0.04 0.01 5.93039017042e-10 6.54743316805e-10 7.14633531613e-10 -231.51892923 -4978.74914183  -1.81648860e-07  0.  0.34694215
0.05 0.05 0.005 5.93039017042e-10 5.93039017042e-10 7.34729611608e-10  10910.37401502  4074.02692767  -9.08445039e-07  0.  0.33429751
0.05 0.0475 0.005 5.93039017042e-10 6.13759685947e-10 7.34729611608e-10  9640.54041423 -7435.43368806  -1.01670427e-06  0.  0.33901594
0.05 0.0433333333333 0.01 5.93039017042e-10 6.3988213202e-10 7.14633531613e-10  4535.13897433 -1066.25881517  -1.54032170e-07  0.  0.34955309
0.05 0.05 0.01 5.93039017042e-10 5.93039017042e-10 7.14633531613e-10 -3292.44360571  2479.16492345  -1.13284672e-07  0.  0.34188166
0.05 0.0466666666667 0.01 5.93039017042e-10 6.19769160249e-10 7.14633531613e-10  1822.64120777  3980.00003352  -1.31870653e-07  0.  0.34813067
0.05 0.035 0.015 5.93039017042e-10 6.69995012601e-10 7.03081338153e-10 -23.25267276 -3127.7890816  -7.38728785e-08  0.  0.35127669
0.05 0.03875 0.015 5.93039017042e-10 6.59232610083e-10 7.03081338153e-10 -2849.81874177  4.21103866  -5.94543589e-08  0.  0.35878843
0.05 0.0425 0.015 5.93039017042e-10 6.44036838602e-10 7.03081338153e-10  22.11875988  2629.01606262  -4.89803509e-08  0.  0.3622867
0.05 0.04625 0.015 5.93039017042e-10 6.22617315054e-10 7.03081338153e-10  2443.06753282 -78.71084754  -4.09315344e-08  0.  0.36080638
0.05 0.05 0.015 5.93039017042e-10 5.93039017042e-10 7.03081338153e-10 -176.54623484 -2272.92642204  -3.43945250e-08  0.  0.35323797
0.05 0.03 0.02 5.93039017042e-10 6.80026394871e-10 6.94753048318e-10  32.40605483 -2466.32380669  -4.68981707e-08  0.  0.35417084
