1.000000e-06, 2.541700, 18.982600, 2.582192e-10 
3.162278e-06, 3.716300, 20.156500, 2.465977e-10 
1.000000e-05, 4.890900, 21.331100, 2.354993e-10 
3.162278e-05, 6.064800, 22.505700, 2.248996e-10 
1.000000e-04, 7.239400, 23.679600, 2.147778e-10 
3.162278e-04, 8.413300, 24.854200, 2.051108e-10 
1.000000e-03, 9.587900, 26.028100, 1.958795e-10 
3.162278e-03, 10.762500, 27.202700, 1.870638e-10 
1.000000e-02, 11.936400, 28.377300, 1.786443e-10 
3.162278e-02, 13.111000, 29.551200, 1.706062e-10 
1.000000e-01, 14.284900, 30.725800, 1.629282e-10 
3.162278e-01, 15.459500, 31.899700, 1.555953e-10 
