1e-06 , 2.5417 , 14.2849 , 2.58219419433e-10
3.16227766017e-06 , 3.7156 , 15.4588 , 2.46597313991e-10
1e-05 , 4.8902 , 16.6334 , 2.3549879185e-10
3.16227766017e-05 , 6.0648 , 17.808 , 2.24899849801e-10
0.0001 , 7.2387 , 18.9819 , 2.14777359762e-10
0.000316227766017 , 8.4133 , 20.1565 , 2.05110982405e-10
0.001 , 9.5872 , 21.3304 , 1.95879219297e-10
0.00316227766017 , 10.7618 , 22.505 , 1.87063383208e-10
0.01 , 11.9364 , 23.6796 , 1.7864545301e-10
0.0316227766017 , 13.1103 , 24.8535 , 1.70605272604e-10
0.1 , 14.2849 , 26.0281 , 1.62927890685e-10
0.316227766017 , 15.4588 , 27.202 , 1.55594747724e-10
