0.0	3.60442944326e-05	8.27329247767e-05
0.875	3.54311621732e-05	8.1325594549e-05
1.75	3.48284596136e-05	7.99422037429e-05
2.625	3.4236009339e-05	7.85823451364e-05
3.5	3.36536369528e-05	7.72456184345e-05
4.375	3.30811710249e-05	7.59316301514e-05
5.25	3.25184430411e-05	7.46399934948e-05
6.125	3.1965287354e-05	7.33703282518e-05
7.0	3.14215411338e-05	7.21222606772e-05
7.875	3.08870443206e-05	7.08954233834e-05
8.75	3.03616395772e-05	6.96894552322e-05
9.625	2.98451722426e-05	6.85040012286e-05
10.5	2.93374902869e-05	6.73387124164e-05
11.375	2.88384442663e-05	6.61932457749e-05
12.25	2.83478872789e-05	6.50672641189e-05
13.125	2.78656749219e-05	6.39604359984e-05
14.0	2.73916652487e-05	6.2872435602e-05
14.875	2.69257187275e-05	6.18029426601e-05
15.75	2.64676981997e-05	6.07516423512e-05
16.625	2.60174688402e-05	5.97182252093e-05
17.5	2.5574898117e-05	5.87023870323e-05
18.375	2.51398557529e-05	5.77038287929e-05
19.25	2.47122136863e-05	5.67222565502e-05
20.125	2.42918460345e-05	5.57573813637e-05
21.0	2.38786290559e-05	5.48089192076e-05
21.875	2.34724411137e-05	5.38765908878e-05
22.75	2.30731626404e-05	5.29601219593e-05
23.625	2.26806761023e-05	5.20592426455e-05
24.5	2.2294865965e-05	5.11736877591e-05
25.375	2.19156186595e-05	5.03031966234e-05
26.25	2.15428225487e-05	4.94475129962e-05
27.125	2.11763678942e-05	4.86063849941e-05
28.0	2.08161468246e-05	4.77795650183e-05
28.875	2.04620533034e-05	4.69668096818e-05
29.75	2.01139830979e-05	4.61678797377e-05
30.625	1.97718337481e-05	4.5382540009e-05
31.5	1.94355045374e-05	4.46105593188e-05
32.375	1.91048964621e-05	4.38517104231e-05
33.25	1.87799122027e-05	4.31057699432e-05
34.125	1.84604560951e-05	4.23725183001e-05
35.0	1.81464341026e-05	4.16517396501e-05
35.875	1.78377537882e-05	4.09432218212e-05
36.75	1.75343242869e-05	4.02467562502e-05
37.625	1.72360562799e-05	3.95621379222e-05
38.5	1.69428619673e-05	3.88891653091e-05
39.375	1.66546550429e-05	3.82276403115e-05
40.25	1.63713506688e-05	3.75773681992e-05
41.125	1.60928654499e-05	3.6938157555e-05
42.0	1.581911741e-05	3.63098202174e-05
42.875	1.5550025967e-05	3.56921712259e-05
43.75	1.528551191e-05	3.50850287661e-05
44.625	1.50254973751e-05	3.44882141163e-05
45.5	1.47699058231e-05	3.39015515952e-05
46.375	1.45186620168e-05	3.33248685098e-05
47.25	1.42716919988e-05	3.27579951046e-05
48.125	1.40289230697e-05	3.22007645119e-05
49.0	1.37902837668e-05	3.16530127024e-05
49.875	1.35557038429e-05	3.1114578437e-05
50.75	1.3325114246e-05	3.05853032195e-05
51.625	1.30984470985e-05	3.00650312497e-05
52.5	1.28756356774e-05	2.95536093775e-05
53.375	1.26566143949e-05	2.90508870584e-05
54.25	1.24413187787e-05	2.85567163082e-05
55.125	1.22296854533e-05	2.80709516604e-05
56.0	1.20216521212e-05	2.75934501228e-05
56.875	1.18171575447e-05	2.71240711356e-05
57.75	1.16161415276e-05	2.66626765298e-05
58.625	1.14185448979e-05	2.62091304871e-05
59.5	1.122430949e-05	2.57632994993e-05
60.375	1.10333781278e-05	2.53250523293e-05
61.25	1.08456946077e-05	2.48942599724e-05
62.125	1.06612036821e-05	2.44707956182e-05
63.0	1.04798510436e-05	2.40545346138e-05
63.875	1.0301583308e-05	2.36453544262e-05
64.75	1.01263479997e-05	2.32431346072e-05
65.625	9.95409353539e-06	2.28477567573e-05
66.5	9.78476920944e-06	2.24591044909e-05
67.375	9.61832517864e-06	2.20770634024e-05
68.25	9.45471244767e-06	2.17015210322e-05
69.125	9.29388285464e-06	2.13323668336e-05
70.0	9.13578905692e-06	2.09694921407e-05
