9.999999999999999547e-07 4.182144863630000055e-10 1.382293250000000123e+21 -1.197171380000000000e+19 4.684545199999999854e-01
3.162277660168379191e-06 4.102262882080000105e-10 2.444980900000000000e+19 -1.152071620000000000e+16 4.685346899999999759e-01
1.000000000000000082e-05 4.022371845670000255e-10 4.324582480000000000e+17 -1.107832180000000000e+13 4.686178100000000235e-01
3.162277660168379530e-05 3.942471495409999903e-10 7.648953740000000000e+15 -1.064459220000000000e+10 4.687066899999999814e-01
1.000000000000000048e-04 3.862559419659999971e-10 1.353022690000000000e+14 -1.021947797093079053e+07 4.688000099999999892e-01
3.162277660168379394e-04 3.782636613569999931e-10 2.393252450000000000e+12 -9.802871792719999576e+03 4.688925500000000191e-01
1.000000000000000021e-03 3.702704576760000207e-10 4.233588200000000000e+10 -9.394905950000000061e+00 4.689899799999999730e-01
3.162277660168379394e-03 3.622759784699999979e-10 7.488586020000000000e+08 -8.995589999999999489e-03 4.690939499999999818e-01
1.000000000000000021e-02 3.542801869799999892e-10 1.324699381424972974e+07 -8.604859069999999525e-06 4.692013800000000012e-01
3.162277660168379134e-02 3.462832529250000016e-10 2.343781542773999972e+05 -8.222751969999999432e-09 4.693139499999999797e-01
1.000000000000000056e-01 3.382850820430000215e-10 4.146415417960000013e+03 -7.849293090000000057e-12 4.694335299999999878e-01
3.162277660168379412e-01 3.302853976619999884e-10 7.336667085999999927e+01 -7.484371760000000247e-15 4.695543400000000145e-01
