#k	Nics		h_k(Nshss).real		h_k(Nshss).imag			TPS			calG.real		calG.imag		calG_cc.real		calG_cc.imag		G.real
1e-40 	-19.70331419 	-1.40153249281e+54	-3.30789426517e+55		4.44265320366e-10  	-5.40053387e+105 	-6.89754832e+104 	-5.40053387e+105 	+6.89754832e+104  	5.59361325e+256
1e-39 	-19.46818558	-4.55625792712e+52	-1.04666479359e+54	 	4.44833691066e-10  	-1.71030642e+103 	-2.24490217e+102 	-1.71030642e+103 	+2.24490217e+102 	-1.12482511e+249
1e-38 	-19.23018225	-1.47784274164e+51	-3.31163835066e+52	  	4.45358833472e-10  	-5.41568425e+100 	-7.28910049e+99  	-5.41568425e+100 	+7.28910049e+99 	8.22041154e+242
1e-37 	-18.98919611	-4.78350599032e+49	-1.04774859597e+51	  	4.45839678517e-10  	-1.71464439e+98 	-2.36160328e+97  	-1.71464439e+98 	+2.36160328e+97 	 4.26321468e+234
1e-36 	-18.74511212	-1.54539472472e+48	-3.31476833054e+49	  	4.46282184623e-10  	-5.42806963e+95 	-7.63623551e+94  	-5.42806963e+95 	+7.63623551e+94 	-7.87677407e+228
1e-35 	-18.49780766	-4.98394980283e+46	-1.04865305546e+48	  	4.46687490803e-10  	-1.71818337e+93 	-2.46466834e+92  	-1.71818337e+93 	+2.46466834e+92 	 9.16392530e+221
1e-34 	-18.24715177	-1.60482380542e+45	-3.31751551493e+46	  	4.47096492947e-10  	-5.43884071e+90 	-7.94259993e+89  	-5.43884071e+90 	+7.94259993e+89 	 1.16291085e+215
1e-33 	-17.9930044	-5.15938266625e+43	-1.04940077756e+45	  	4.4739540514e-10   	-1.72103769e+88 	-2.55492840e+87  	-1.72103769e+88 	+2.55492840e+87 	 1.47546527e+207
1e-32 	-17.73521545	-1.65647889979e+42	-3.31948655943e+43	  	4.47694954843e-10  	-5.44606972e+85 	-8.20758510e+84  	-5.44606972e+85 	+8.20758510e+84 	 1.64826015e+200
1e-31 	-17.47362374	-5.31283850081e+40	-1.05025173779e+42	  	4.48184666004e-10  	-1.72448871e+83 	-2.63506371e+82  	-1.72448871e+83 	+2.63506371e+82 	 6.31345542e+192
1e-30 	-17.20805585	-1.70118888903e+39	-3.32125698004e+40	  	4.48232286296e-10  	-5.45258813e+80 	-8.43773382e+79  	-5.45258813e+80 	+8.43773382e+79 	 2.38480959e+185
